YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,NRSNG_VISITS_CNT,MSW_VISITS_CNT,AIDE_VISITS_CNT,TOT_NRSNG_MNTS,HOSPC_RHC_DAYS_PCT
2023,FY,NATION,HOS,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,1744691,1849126,135679478,40619157730,25106162084,25106162084,25549846041,29,7,82,42,58,81,8,2,7,0,1,1,2.54,1,23,4,0,25,0,31,10,2,0,2,0,1,1,0,35554974,6145516,36233228,1988468805,99
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,AK,STATE TOTAL,1100,1154,73543,34363458,15080833,15080833,13600320,34,5,81,40,60,79,3,4,2,10,*,*,2.20,2,24,7,*,25,0,29,8,2,*,2,*,*,*,*,20366,2577,3984,921570,100
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,AL,STATE TOTAL,33460,36415,3330899,805962004,514590074,514590074,599976055,27,11,81,41,59,83,15,0,1,0,0,0,2.26,1,18,4,*,25,0,36,13,2,1,1,0,0,0,0,910119,135441,836146,40511550,99
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,AR,STATE TOTAL,20113,21112,1541105,564826854,256580957,256580957,290010228,33,24,81,42,58,89,9,0,1,0,0,0,2.44,1,23,4,0,24,0,29,14,2,0,2,*,1,1,0,430173,70760,449230,17601645,98
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,AZ,STATE TOTAL,48247,51740,4209446,1182324826,746008926,746008926,774830735,25,2,82,43,57,83,3,1,10,1,1,1,2.49,1,20,5,0,28,*,31,10,2,0,2,0,1,1,0,1010280,177641,1003780,49878510,99
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,CA,STATE TOTAL,182691,200736,16812358,5448247219,3813174038,3813174038,3044835925,34,1,83,42,58,62,7,9,20,0,1,2,2.53,1,20,3,0,27,*,37,8,2,0,2,0,1,0,0,4036714,556573,3379387,250267215,100
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,CO,STATE TOTAL,24904,26065,1809670,560117001,336531775,336531775,342888728,22,6,83,42,58,86,3,1,9,0,1,1,2.46,1,23,6,0,28,*,26,12,2,1,2,0,1,1,0,458498,101279,458889,23185380,99
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,CT,STATE TOTAL,16388,16956,925828,293607582,196358116,196358116,181863560,41,0,84,40,60,87,5,1,5,*,1,*,2.62,2,26,5,*,25,0,24,10,2,0,2,*,3,1,1,269758,46348,215451,14110905,98
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,DC,STATE TOTAL,1242,1355,106358,27743895,20426448,20426448,19900042,41,*,84,36,64,37,57,2,3,0,1,1,2.66,*,31,*,0,28,0,32,6,1,*,2,*,*,*,*,11829,2576,15989,744615,99
2023,FY,STATE,HOS,STATE TOTAL,STATE TOTAL,STATE TOTAL,DE,STATE TOTAL,6710,7034,459936,154860779,94131344,94131344,94091783,23,0,82,44,56,81,15,1,2,0,1,0,2.50,2,27,3,*,16,0,37,9,2,1,2,*,*,1,0,108978,16272,130682,5977425,97
